komentar,label
saya  kenapa vaksin jatuh sakit udah ngeluh sakit badanya  gak apa tolong ngerti solusinya,0
yang habis vaksin mati tolong keluarganya wawancarai jangan yg sehat yg tdk bermasah surveynya,1
setiap badan berbeda tergantung imun tubuh jika imun tubuh lemah imun tubuh bereaksi virus disuntikan orang memiliki tubuh lemah menyebabkan kematian penyakit vaksin cuman teori coba dipikirkan untuk peningkatan,0
sedang merasakan abis vaksin az mag sore tadi skrg demam ,0
saya meriang pas malamnya habis vaksin jam malam tu badan dingin banget,0
heran saya jok vaksin sinovac yg minim efek sampinghabis vaksin senyum  senyum masyarakat kasih coronavac notabene produk lokal biofarma habis vaksin langsung demam sembuh demam lagi payah,0
kemarin selesai vaksin malemnya sampe badan meriang gk enak tenggorokan haus bgt untung kuat puasa hadehh,0
saya habis faksin rasakan ngantuklapardan besok nya radang demam dampai sekarang ndak minum es dll,1
sletelah vaksin kebwaan ngantuk sakit dibekas suntikan skrg ngk hilang kenaap,0
alhamdulillahkemarin habis vaksin aman aja tiga vaksin kedua ,0
apa gua orok kaga vaksin suntik  alhamdulillah nya sehat,0
saya vaksin alhamdulillah tidak mendapatkan efek apa,0
sama ku merasakan efeknya bekas suntikannya tdk terasa,1
saya vaksin demam pusing peersendian kaya copot semua,0
saya divaksin tahap pertama kondisi badan baik saja,1
panas dingin pegal nyeri badan pusing server,1
indonesia raya nakesnya makmur makmur nakes yg negara pandemi,1
bahan vaksinx sih  halal gak digunakn jngn membhykn dimasa dpn,1
alhamdulillah selesai vaksin tubuh bugar efeknya diawal mengantuk teman yg vaksin sarapan vaksin diam rumah sakit vaksin menit beraktivitas nyaman deh,0
aku habis faksin sendi sakit badan panas kepala pusing hidung tersumbat awas gua mati gua suruh tuntut ya,1
vaksin efeknya ngantuk pusing lmbung jg kumat aksin ngntuk gk enk bdn ky msuk angin yesek dibelakng msih wajar konsul kedokter ya,0
rasakan vaksin demam meriang ngilu kdg sakit kepala aga sakit didada ambil nafas panjang gampang lelah gampang ngantuk berjuang lawan efeknya bantu share makan  minum mempercepat pemulihan,0
yg vaksin nya pagi absen gw pegel demam mata kek kebakar,1
habis vaksin besoknya panas dingin penciuman hilang evek samping nya ya ,0
saya barusan habis vaksin pertama yg rasakan badan lemas nyeri nyeri pala puyeng,1
kalo gk dr perusahaan sy menunda vaksin,0
mending kena covidnya nanggung efek samping vaksin,0
aku habis vaksin sinovac besoknya dada kanan sakit knp ya,0
klu status otg aman klu divaksin,1
kenapa ya suntik vaksin pegal batuk tolong pencerahan nya kawan,0
yailah nyeri demam aja klo kena covid yg nyawa terenggut,1
dlu vaksin beda ama skrg stlah suntik vaksin panas demam demam yg corona sya ga mau ga,0
saya td pagi vaksin pertamagk papa kokwajar saja,0
tu nama gak kebal mala sakit panas bilangaja yg suntik dok nakesnya habis vaksin gaknafsu mk lema panas gawat hiiii bodo,1
tdi siang vaksin tpi blm keluhan apalah malem nya skrg kaya meriang lemes ,0
baru vaksin  jam lalu yg ngantuk dan didaerah pertemuan alis berat spt kolestrol klo lg naik klo hb lg turun langsung minum paracetamol,1
so orang aja dipaksa suntik eh nimbul demam kn utk klncran lanjutnya wkwkwk udh maksa hak individual pula gua divaksin langsung kedinginan kalo gak divaksin emang kenapa udah covid starts in febmar  aja belom kena covid kecuali batukpilek dijadiin kambing hitam dokter penyakit dijumpai penyakit yg kalo gak dibawa dokter baikbaik aja bawa divonis macemmacem kasian gua meriang mulu dipaksa rs najis,1
awas aja keluarga gw kenapa vaksin ya,0
saya sdh x vaksin covid lancar saja keuntungannya imun aman surat keterangan vaksin gak lg rapid test rapid antigen pergi kemanamana,0
setiap orang beda tubuh merespon vaksin jam setelh suntik sperti kta nakes yg nyuntik reaksi pda dingin  malemnya demam demam pusing silih berganti cepat sakitnya,1
efek samping q rasakan menit divaksin pegel  pusing  demam panas dingin  nyeri disendi ,1
aku merasakan demam panas dingin kepala,1
ini vaksin sinovac efek kedepannya gmana za kok blum bdan skitan yg pusing sm mual trus pdalah gak gni bdanq,1
tadi pagi habis vaksin di suruh nunggu menit kalo baik ajh pulang nah pulangna kerasa kaki nyerikasi saran abg mbak kk gmna ini,0
gw laper terus dikit makan ngemil,1
ayah pns sehabis vaksin demam minggu  sampe pulih,0
suami gw abis vaksin jd demam ngilu ,0
alhamdulillah gk vaksin dulu kecuali balita v,0
sy vaksin juni  senin juni  efek mual demam biasa plus sulit tidur kalo malam,0
efek samping  tepar badan kaya gebukin sekampung,1
habis vaksin sy ga merasakan apa sampe skrng sy sehat aja,0
mau yg abis vaksin ga ga apa sakit dibagian suntiknya demampanas dingin badanpusing ga yg sma kya rasain,1
saya vaksin sinovac yg tgl april  tgl juli senut  pegel tolong obatnya ya bapak  ibu tolong infokan saya beli tangan kiri nyeri,1
kalau abis divaksin kira menitan langsung minum air kelapa hijau buah efeknya badan seger malamnya minum beard brand efek migrain jari kaki kaku pegel jg dikit dibeberapa anggota tubuh gatal tangan  malamnya ndak tdr krn cemas bangun tdr badan seger ,1
saya asam urat menyerang tubuh kadang kaki kadang lutut kadang tangan divaksin asam uratnya nyerang langsung kaki lutut persendian berjalan tolong saran masukannya temanteman ,1
hm kasihan gak suntik berharap vaksin suntik seduh kah ,0
ibu vaksin badannya memburuk ngga nafsu makan mual panas dingin udah ini,0
knpa yg hbs vaksin batuk sesak napas kak,1
saya demam n pusing hebt vaksin,0
vaksin sinovac badan mendingan ga demam indra penciuman hilang ya yg tau,1
aku kemaren vqksun sampe dmam nyeri gak ea,1
barusan habis vaksin sinovac beberapa jam tubuh panas dan tenggorokan kering gimana mengatasinya ,0
apakah suntik vaksin menjamin kebal covid apakah sertifikat vaksin swaf bandaracukup sertifikat saja,0
lah vaksin tgl juli pake sinovac gk efeknya kenapakenapa tau taunya efek samping pagi sampe sekarang efek meriang dengkul kyk copottt nyesel jg sebenernya vaksinasi vaksin jg gk napa,0
saya habis vaksin batuk pilek setalah priksa dokter anehnya blm sembuh mingguyg bikin aneh dlu vaksin badan sakit pilek batuk greges priksa dokter  sembuh  udah bosen batuk pilek greges yg g kunjung sembuh,0
gw stelah vaksin gak da efek apa  tp besok nya stelah bgun tdr badan demam kepala nyeri sebenrnya gak vaksin tp aturan perusahaan karyawan wajib vaksin,0
setelah divaksin yg meninggal dunia divaksin,1
saya vaksin alhamdulilh sehat cuman kebas tangn sebelah satu kli lgi sya vaksin,0
setelah vaksin minggu leher sakit iti efek vaksin ya,0
rumah sakit mainin duit vaksin gak tuh,0
jd bgni ya pacar habis divaksin panas badan lemas badan pegal nafasnya panas rawat pacar gk sengaja nafasnya kehirupp eh saya sakit orang yg divaksin gejalanya pdhal blom divaksin,1
abis vaksiin baik aja malamnya langsung panas bekas suntikan vaksiin sakit nyerii membengkaka  lidah pahit  kepala pusing badan panas dinggin  solusinya dongg biar cepet sembuh,1
awalnya sehat aja vaksin malamnya demam nyeri panas dingin mati vaksin,0
sy sdh hr stlah divaksin tgl vaksin smpai tgl efek smpingx adl gatal indra pengecap jd pahit sdh hr lhoooo blm smbuh mulut pahit makan apapn,0
boro malam nya doang minggu ga kerja gara habis vaksin tau gini mendingan ga vaksin sekalian,0
aku vaksin  nyeri demam pegelnya hilang,0
guru sd vaksin demam semua orang sembuh yang meninggal kritis awal adik murid vaksin ga mau jd guru nya vaksin nya guru demam minggu kritis dirawat rumah sakit,0
gw udh d vaksin tp samsek ga efek apa,0
vaksin  demam  meriang batuk nyeri sendi pusing udah sembuh,0
saya vaksin mengalami lemas pusing hari apakah pengaruh vajsin,0
cuman gara gara sterfikat vaksin ancaman persulit urusan pemanis vaksin,0
krn yg bilang spg vaksin ya josss hehehe,1
sehat sll ya dr jg lg menunggu,1
emang beda prosedur ya  kita tensi itu tau jleb disuntik oi tau tau tubuh menerima vaksin klo yg kenapa pasca vaksinasi gmn ,1
efek dokter tirta banget kaya saya alhamdulilah dah selesai vaksin sinovac,0
apakah sopx berlaku masuarakan miskin apakah vaksin org miskin n pejabat sama skrg frustasi krn vaksin,0
hopefully you guys will be okay there isnt any perfect vaksin at this moment but if you wanna wait for years later the vaksin efficacy  and therefore i believe the corona will be wipe out,0
lihat gelagat logatnya nya kerjasama ,1
saya tensi tanya ada asma pemmbekuan darahitu,1
lhaaahhh dokter orang sedetail it ciba main proses vaksin dsini gak bgt darah suhu suntik dpt sratnya it pulang,0
saya vaksin tp ga ngantuk lapar aja kaya jaman sd gitu  cuma pegel berat dibagian lengan yg kena vaksin hari udh sembuh normal,0
saya divaksin aman aman aja vaksin sinovac cuman efek cuman lemes tangan yg divaksin  dan pemaksaan vaksin aman,0
saya blm vaksin karna daerah tinggal blm info vaksin,0
itu dokter si suka beda beda kalo ngasih keterangan,1
saya warga daerah alhamdulilah vaksin ibukota paksaan manapun sehat bismilah  alhamdulilah sdh vaksin kemaren tgl,0
dah ga percaya tirta rawa botak,1
makanya yuk vaksin lupa cetak vaksin ya cetak sertifikat vaksin only k per pcs kartu pvc yang cetak sertifikat link tertera yaa ,0
vaksin nya pakai kasta gak nih takutnya kualitas rendah kasih orang miskin yang bagus orang kaya,0
spg vaksin pake rok pak biar sexy,0
adik sy vaksin tuntutan dr kerjaannya peraturan dr pemerintah tdk vaksin dikeluarkan vaksin tdk kerja kadena sakit sakitan terus divaksin imun tubuhnya selallu drop kl kaya gini pertanggung sm dokter,0
professor ahli epidemiologi banyak dokter ini,1
dokter tirta dulukamu mendukung contra covid sekaran prokenap aneh,1
sama halnya nanya bakso nya enak ga tukang penjual bakso,1
kalau adik gua udh vaksin nama nya gk tau sih efek nya alhamdulliah sehat wallafiat bsk tahap vaksin lgi doa adik sehat,0
prosedur sesuai realita masyarakat gw cek tekanan darah suntik kartu suruh pulang gak nunggu reaksi tes an,1
sebenernya y buk pengen nya y vaksin biar sehat tp apa bertanggungjawab udah gitu aja di materai lah,0
di kalo ngga vaksin ngga bpjs pemrintah gue bingung indo aja ya aturan nya kayak gini masa ngga vaksin ngga bole bpjs pemrintah,0
barusan vaksin suntik langsung dsuruh pulang dok ,0
makin lama ga mau divaksin makin lama juga psbb ini normal ya aja vaksin gratis ingat anggap vaksin instant proses udah vaksin trus besoknya keluyuran ga jelas trus kena bilang vaksinnya yg salah,0
alhamdulillah kemaren ane udah vaksin napsu makan bertambah gejala apa aja yg nggak vaksin iya nggak hak orang vaksin kondisi badan penyakit penyakit ngaku nggak penyakit yg bahaya,0
saya makan kali hari bawaanya lapar trus takutnya gemuk,1
pasti pendosa ngabisin uang negara gak berguna kacung gak martabat itu gak lepas gerak keadilan semesta,1
jam stelah vaksin ngantuk nyeri lokal jam stelah vaksin laparr stelah vaksin amandel kumat padahl gak konsumsi dingin,0
ga dia dipihak mana pihakku allah swt,1
ngeceknya ngg selengkap dr tirta tuh iini vaksin,0
sy sdh vaksin coronavac x cek tensi aja tuh cek darah denyut jntung ditanyain gejala gangguan indra penciuman,0
jangan ganja isinya abis abis vaksin laper wkwkwkwk canda dokter wkwk,0
semoga sehat sll dokte tirta aammiin,1
saya vaksin astrazeneca selang salah baru vaksin,0
saya vaksin ko hilang indra perasa ya,0
halaaaa kalian pke vaksin yg mahal sdngkan masyarakat kcil ksi gratis vaksin yg pling renda mka y bnyak yg mla pda tmba sakit,1
sdh sampe uji klinis vaksin ,0
ha si pembujuk beraksi cuap aja trus kagak ngaruh gaesss  hi,1
setelah vaksin pertama putuskan ikuti vaksin kedua efek vaksin harian vaksin dianggap efek samping sama orang yg divaksin yg menyayangi nyawanya sayangi nyawa jgn vaksin,0
saya terpaksa vaksin karna bekerja pabrikkalo ga vaksin bisa tendang dri prusahaan ,0
misi nih keluarga menderita hepatitis b masuk kronis bole vaksinasi,1
saya smlm hbs vaksin sinovac yg pertamastelah vaksin ngantuk aj bawaanya tdr ajdan makan aja bawaanyapadahal diet lohalhamdulillah sy sehat selalu,0
ini pulang vaksin gbk biasa aja dan rumah bersih makan sekarang berasa bawaannya ngantuukk ngantuk engga gejala pusing demam mual yg lainnya kl ngantuk aja beda kondisi imun orang beda efek dirasakan mungkin nih tiduran dl ngantuk,1
koq beda ya sistemnya disini pengambilan data pake ktp cek suhu tenshi gejala pilek batuk ato sesak trus vaksin abis dpet kartu vaksin abis pulang ada yg sama,0
dokternya mata sipit ya bos ku,1
saya riwayat asma vaksin takut parah ,0
sama sy stlh vaksin laper mulu pdhl lgi pengen diet,0
yang kebanyakan di masyarakat gak pakai di cek lansung aka cas cus cas cus,1
penasaran vaksin efektif cm staun ato skali seumur hidup  please do reply,0
intinya yg divaksin tubuh fit jngan rebahan anying,1
efek nya uang vendor event vaksinasi bumn blm turunkasian vendor yg nya lebaran untung buntung,1
gimana kalo vaksin sinovac buat tubuh ada efek samping nya ngak,0
hhhhh nanggung pke sinovac sinovac dosis org yg pnya alergi yg krg sehat ,1
siap lh yg udh terlanjur vaksin,1
mau ni org yg memiliki persyaratan vaksin diperbolehkan vaksin sementara bangsa peduli kesehatan ada yg tolong balas saya masarakat yg tau ini,1
setelah lihat jd mikir efect vaccine ya demam tidak td udah minum paracetamol sesuai anjuran dokter dibilang minum hr x sehari  tp sy kug laper mulu br vaksin pertma az hr ini tp bawaanya laper aja udah makan x hr ini belum nyemil nya buahan habis potong besar,0
dr tirta warga keturunan tiong hoa hahaaaa setiap postingan video nya pro rakyat basiiiiiii,1
elu sinovac kita astra otoparts ,1
punya tekanan darah gak divaksin ,1
mohon tanja suntik vakdin umur uda thn maag alergi asma,1
sama habis vaksin laper trus badan pegel jam,0
ya wajib yg gak sanksi nya pecat,1
pemeriksaan pra suntik vaksinnya byk bgt pertanyaannya gmn klo org kampunglansia yg sdh byk keluhan gak dgn tepat,1
lah emg iya sehat  aku habis vaksin sore ko malemnya meriang badan adem panas semua teman kerjaku meriang pekerja lapangan,0
demam pusing lemas nyeri sendi nyeri otot sakit tulang hilang keseimbangan pangkal telinga sakit mata berat sakit mata berat berbicara sulit fokus puncaknya saraf saraf sakit kekebalan tubuh menurun penyakit bawaan vaksin,0
apa benar kebal virus vaksin tolong ,0
ini vaksin beneeer ada medical cek lengkap gak suntuk aja,0
hebat orang jaman sekarang vaksin buatnya lama secepat kilat aneh campur ragu,0
q abis vaksin kemaren pinggang terbakar mual sebelah kiri nyeri gak bs tidur udh tolong mengatasinya trmasuk efek samping bagaimana,0
tambah laper trus yg gak kerjaan kudu ngerampok ya,1
sekedar info dpt info org yg divaksin  uang logam ditempelkan yg disuntikan nempel magnet itu ya apakah,1
serah lu dah males gue vaksin,0
ya liat aja setlah vaksin banyk yg meninggl aatu gara gara corona klou tmbh banyk pemerintah tanggung jawab tggung ya liat aja rakyat berontank bls semuah,1
vaksin ga sakit sakit digigit semut alhamdulillah menit aktifitas ayo gaes yg vaksin keamanan orang,0
alaahh doktor bazzer ni si tirta ni,1
temen adik stelah vaksin demam tinggi muntah lemes pusing bgt ky orang sakit parah  berhari begoin kl bkn krna kbijakaan perusahaan ga sudi sy mah vaksin,0
cek pendapat ustadz covid vaksin channel ,0
harus nya jgn maksa orang ga divaksin,1
mungkin yang di suntikan ke dokter tirta itu beda isi vaksinya yang di vaksin kan ke golongan masyarakat tertentu,0
if i get vaccinated can i stop wearing the mask government no,0
efeknya nya setahun  sewindu terorganisasi struktur masif  terukur  tunggu,1
minum air kelapa trus divaksin dampaknya gimana,1
dr tirta lama kayak satanic tlol bangt vksin,1
yng takutkan efek  keturunan kita tuh trus ya gue yg ga g paksa,1
vaksin virus yang di lemahkan kawatir bibit virus vaksinmenyebar,0
dokter tirta bronkitis akut gak salah apa iya divaksin beneran,1
bpom emergency use sinovac producer vaksin yg  se andainya astrazeneca pfizer moderna kasih emergency use vaksin beredar rakyat pilih yg terbang,1
iya uk  pakai pfizer astrazeneca susul australia  astrazeneca vaksin for first rolling out ,0
kalo udah vaksin kebal covid dong gak pake masker dong ,0
tanggal maret udah vaksin vaksin  jam vaksin berasa loyo,0
berlidung diatas pak vaksin buatan manusia,0
saya dan keluarga kapan di vaksin,0
gw habis vaksin pusing mual ga napsu makan bengong lemas lesu lunglai soalnya vaksin pas tanggal tagihan motor tagihan rumah kartu kredit dll,0
habis vaksin az org tipes wkwk banyakin makan aja,0
sy sdh divaksin astrazeneca reaksinya pusing demam  menggigil stlh jam vaksin stlh jam sdh normal lg,0
ga obyetif donk stamentya source ndr astra,1
ahh gua kaga abis vaksin az,0
divaksin astra baik aja cm sideeffect normal kayak tiredness musclesore headaches cepat efeknya disuntik menit langsung tired jd tepar seharian aman,1
mas indra vaksin kalian membunuh rakyat kami,0
setelah divaksin az gejalanya pegal badan minum paracetamol makan yg banyak istirahat yg cukup besoknya normal kembali,1
masih vaksin pertama gigil sedikit pusing ringan demam cepat lapar ngantuk lemes pegal lengan yg disuntik normal lagi tinggal tunggu september vaksin yg  moga apa vaksin yg pertama pasrah allah,1
alhamdulillah yg vaksin semoga sehat umur aamiin,1
sinovac mana hayoo ooo bismilah ajalah semoga sehat mahu pakai sinovac kek orang astrazeneva alhamdulillah suami is ok aamiin,1
emang vaksin sinovac ko bahrain vaksin ulang pake vaksin yg amerika itupfizer gk vaksin campur campur gitu,0
saya suntik astra zeneca jam langsung puyeng muter jam msh puyeng jam mencret x jam malam demam  pusing besok pagi msh sakit kepala jam uda baikan musti minum yg demam pake ac utk tidur makan panadol aja uda baikan ketika suntik vaksin diet harus makan kuat,1
saya abis vaksin astrazaneka efeknya ngantuk laper selebihnya normal,0
nanya pake vaksin bikin vaksin astrazeneca apakah retorik,0
sy vaksin astrazeneka mlm nya gk tidur  siang nya badan lemes menggigil pegel hari nya alhmdulillaah udh baikan,0
ngomong sinovac non aktifkan virusnya pake y  apakah bs non aktifkan virus yg didalam tubuh,1
saya divaksin covid tanggal  pake vaksin astarzeneca saya mengalami efek samping,0
semua vaksinrata efekdan tdk individuyg sblm vaksinhrs sarapan tubuh fit,1
saya barusan di vaccine astrazeneca ok saja,1
yg meneliti astra getha vaksin astra getha kl sudah situ modar aman yg bahan uji org yg meneliti,1
reaksi ak pake vaksin az kelaperan parah  ngantuk demam,0
habis vaksin perta az samalah kayak mas indranya tuh eh nama sama effek nya cuman kesemutan suntikan vaksin sakit kepala oke aja napsu makannya loh suka ngantuk hihihi yah gitu tergantung daya tahan tubuh penerima intinya vaksin biar perlindungan aja dah,0
vaksin astra zeneca memakan korban ketimbang sinovac mending pakai negara yg kena,1
aku pakai aztrazaneva is ok aja alhamdulillah canggih,1
apakah vaksin menurunin gairah bercinta dan riwayat sakit hati aman vaksin,0
tgl mei dah vaksin astrazenika th penderita jantung koroner menjalani kateterisasi jantung jantung vaksin astrazenika saya mengalami efek samping apa cuman ngantukkkk kondisi dah baikaja allah sllu menghadiahkan sgl yg terindah temanlansia slrh tanah air terhindardaricovid sehat tulungagung jatim pagi,0
siapa divaksin silahkan bersedia divaksin terserah saja,1
kemarin habis vaksin astra tahap  sehari vaksin badan panas nyeri kepala pusing,0
ponakan ku efek samping nya ampe mutah darah hti lemes pusing,1
sy vaksin astrazenaca yg lalu efeknya demam  ngilu tp udah kmbli normal,0
buat hamil aman nggk ya kl vaksin covid ,0
sdh divaksin astrazeneca  sy cm merasakan nyeri tangan yg disuntik ga lbh jam gak reaksi lainnya sehat,1
buang membandingkan bersertifikat abal dunia ketawa,1
indonesia bikin vaksin ga sih eman duit segitu dikasih negara lain kalo bikin ngurangin anggaran negara jg,0
save vaksin sinovac yg halal tolak vaksin astrazaneca yg haram,1
pagi vaksin astrazaneca demam menggigil lemespusing semoga aja besok membaik,0
vaksin covid astrazeneca disuspend dibanyak negara prancis german dll,0
lebih setuju pake metode kuno dgn melemahkan virus sendiri,1
virusnya covid dipakai vaksin virus dimodifikasi  hidup  orang awam gini gak nyambung saya pilih sinovac pakai virus  dinon aktifkan masnya oxford paham alasan  pertimbangannya virus dimodifikasi  hidup mending cari aman ,0
vaksin astrazeneca bahaya eropa aja pending terkait astrazenca ngeri jangan coba cobalah rakyat ngeri,0
udah berbahaya vaksin astrazeneka aja import bin ajaib,0
kalo vaksin pakai masker jaga jarak swab pcr berpergian kota cek suhu masuk publik kalau meninggal vaksin karna efek samping vaksin pemerintah tanggung jawab langkah yg tempuh pemerintah,0
saya vaccin dosis astrazeneca efeknya demam jam hari vaccin lemas gemetaran tapi selera makan baik masing tubuh manusia berbeda menerima reaksi vaccin tentunya next dose mei astrazeneca perusahaan farmasi inggris swedia,0
az virus yg aman virus itu ,1
jutaan vaksin datang yg sdh divaksin juta  bisnis,1
sy maunya sinovac halal tp krn buatan asia klo astrazaneca buatan eropa buatan orang iluminati tau efek jangka panjangnya sih pendapat aku,1
sinovac  virus dilemahkan persis dgn vaksin yg terima dilemahkan astrazeneca  mengambil genetik covid spikenya dgn metode dgn campuran adenovirus yg menyerang simpanse,1
knp gk impor vaksin pfizer yg efektifitasnya  yg diimpor vaksin abal,1
gua kmrn puskesmas divaksin pas uda gilirannya gua dokternya blg astra abis jd nya gua pake sinovac,1
sama murah harganya dbanding vaksin yg,1
mau aj indonesia beli vaksin pke vaksin ayam,0
astrazeneca virus sisipkan proteinnya virus corona sinovac virus corona dimatikan,1
beli grusa grusu mungkin teknologi aja lambat grusa grusu  uang gak bisa habiskah  berita simpang siur meragukan ,1
saya habis vaksin sinovac efeknya lidah pahit ngantuk banget tinggal bahrain,0
gw takut kalo vaksin astrazeneca  kejadian meninggalnya trio  tetangga gw usia an sampe perutnya berasa mual abis vaksin,0
jangan cari mati rakyat korbankan rakyat,1
iya broo vaksin efek kebaikan besar terutama mati tanggung pemerintah ,0
yg rasakan stlh vaksin selang seminggu sakit flu minggu gk smbuh jeni mw vaksin lanjutan dosis blm berani sya krn msh sdkit flu ringan hmpir smbuh,0
udh ga pwrnah disuntik sekalinya video pas scene orang disuntikseketika badanku langsung lemes,1
kok bnyk bgt siih yg disuntik dihkg banget lho,1
saya vaksin negatif vaksin swab positif ,0
intinya tidak ada jaminan habis di vaksin akan kebal covid,0
di vaksin gak asuransinya la tanggung,0
vaksin sdh bln tangan pegal eh,0
gw kmren paksin ko malh sakit ya,1
itu yg aman yg mati yg lumpuh cacar kulit ko ga diangkat,1
syarat rakyat divaksin tanda tangn diatas materai hal yg tdk diinginkn dlm kurun bln enth kena covid sbgny sampe meninggal yg ngasih vaksin kena denda m biaya kelangsungn hidup keluarga yg ditingglkn efek faksin,1
istriku x vaksin positiv gak vaksin gak positiv sih bingung saya kondisi istri  sehat loh wkt vaksin sebulan positiv air hujan kah yg suntikan x,0
suda vaksin sehat nasu makan lebi,0
sy skrg blm vaksin liat yg sdh vaksin demam atigen positif gitu tdk penanganan yg demam selesai vaksin suruh beli parasetamol hrsnya penanganan khsus yg demam krna vaksin,0
