komentar,label
allah swt menurunkan pemerintah dzolim hikmah didalamnya bersabar bayar kontrakan cicilan motor  kerja rumahkan wkwkw lucu ya negeri,1
rejim tdk berkwalitas bertahan dgn senjata covid,1
kenapa gak seumur hidup aja ppkm nya biar rakyatmu apa bapak gak memikirkan orang yang ekonominya rendah ,1
smoga cepat hilang covid kembali normal,1
bukan mobile legends aja yg orang egoisternyata pemerintah tohh,0
ya allah ppkm lagi aja udah kbingungan udah jual kalung emas si beli makan sehari hari trus kedepan uang lagi,1
klo gak sanggup tinggal bilang kami mundur ,1
juli sampe agustus knpa gk besok agustus smpe kpn lg  pergi vaksin tp vaksin ajah merata  cari vaksin susah bnget ,1
partai pak semoga pdi p memperoleh suara lg,1
kebijakan yg keluarkan menambah kesengsaraan ,0
mau memusnahkan covid memusnahkan rakyat pak,1
ya ampun pasrah gimana nyerah gimana penghasilan menurun rakyat sulit cari makan,1
monggo sak polahe panjenengan mawon pak kulo tiyang alit seng wingi mados rejeki sadean soto pinggir jalan mallah gusur ngoten niku geh seng asmane ppkm,1
ingat pemerintah yg buruk kelak dipertanggung jawabkan didepan allah swt ,0
terserah bapa dah perpanjang sampe gpp yang penting orang setiap hari subsidi rp aja insallah masyarakan nurut diem d rmh,1
mau beli pake pak kompeksi usaha tutup total bantuan mana yg dpet mlh yg berduit,0
minggu terbuang sia siakumaha ieu bayareun akulaku ,1
gimana nasib anak istri ppkm d perpanjang bisamati kelaparan bantuan personil ga ada bantuan ga,1
pie to paknanggung kalok diperpanjangin terusngga ajaviruse habis orange yo habis,1
makan wartegwarung makan menit ok ,1
padah tdi mlem senang buka tokoh sembakoeh perpanjang,1
seharusnya terapkan prokes antonim beritanya anggarannya team nya,1
semoga cepat sembuh korona semoga indonesia cepat sembuh biyar axtifitas amiinn,1
lagi sebentar baru covid dinaikin lgi ,1
awoook awoook mulu nih kgk jelasppkm solusi yg bermasalah rakyatbapak mah enak ngomong gk gk dimengerti dpat duit,0
ameh rabiii susah pak ngerti rak opo batesin rakyat pngn kebebasan ,1
covid aturan org sehat sakit bansos jga yg terima ngga tau nerima bantuan civid,0
hidup sekrng keras sulit kita beradaptasi gmna uang sekarang yuk ngepet ngerampok aja deh,1
 perpanjang ppkm elu kaga berkumpul bergerak tuk lengserin gua ngomong jujur gitu aja ruwet sih,1
vitamin suplemen dokter kita butuh uang utk kebutuhan lain listrik internet bayar gak pake beras bung,1
ppkm nya cicil perpajang minggu trus minggu lanjit sampe total minggu ,1
enak kalou orang yg duit mh ppkm g mikir g sedih ya alloh gimna ,0
selama bed occupancy rate  ppkm darurat dilanjutkan,1
wis pak karepmu protes jg percuma,1
kalau gini gimana nasib generasi muda anak soalnya pembelajaran online efektif,1
tukang nyiksa rakyat kau rupanya ingat adzab allah ya berat lho gak kuat kau,1
ya allah ya rob kekuatan rakyat yg bs berbuat apa amiin,0
bosen pa pres seblak kali levelnya berdamai sicorona ko musuh,1
level bon cabe ya pakjngn smpai level ya perut gk kuat,1
ppkm terus masyarakat meninggl covid  tp mati kelaparan,1
gara dperpanjang bnyak yg batalin pmbelian ahirnya modal sdh kluar modal dpet ngutang bner,0
pasti diperpanjang hut ri kemudian melarang perlombaan kampung masing kemudian diperpanjang kiamat,1
turun aj pak kalo gx ad solusi negri in dari nyusahin rakyat,1
menyesal pilih capres partai merah lebih mundur mensengsarakan rakyat,1
berita judulny yg bener mn gogle tgl tgl bikin binggung ,0
dia lupa kali yakatanya ga pengaturan indonesia,1
yang lupa besok kalo pilpres lagi pastikan dukung partai badaknya biar nyungsep ,1
waduuh pisang mateeeeeng njok piyeee mbah ,0
rakyat kyaknya d suruh kalparan yg gndut jd kurus yg kurus tmbah kurus sprti sang pemimpin,0
semoga amal ibadahmu terima sisi allah,1
pemerintahan sadis dan tersadis blangsak pembohong besar hancur ini negara cuih ,1
knp tau kemungkinan depannya varian sdgkan pemimpin dunia tdk yg blg begitu jgn ada udang batu y pak ,0
keputusan adil ppkm perpanjang angsuran kk berlanjot ,1
slamet dijogo direkso diayomi slamet pemimpine slamet rakyate ,0
kita berusaha untuk kerja pemerintah masyarakat mohon bantun sperti listrik pandemi,1
program vaksinasi dipercepat masih terbatas vaksinnya sehingga ppkm kerap terjadi,1
terserah bpk ajayg rakyat jgn smpe kelaparanharus jln tutup hutang rakyat tutup paksoaly cari duit susah,1
jok jok duhh ada ada aja lu  emng ga ada kerjaan laen apa lu jok segala ppkm lv,1
sekalian pom bensin tutup kalo niat ppkm total selama  bulan sekalian hancur bosss,1
seblan nggur jkrta pny anak binikerj freleanceposisi bntuan ga adasmua jg ssh  cmn berdoa mdahan ank ccu mersakan saya,1
smenjak ppkm psbb penghasilan gk adkerja nihilbayar pajak pbb hrus ttep gassbuat mkn aj pusing,1
kenapa g diadain aja pemilu takut tuh corona nya,1
ya allah gk dr lockdown aja orang tabungan bisa ya makan seadanya sekarang tabungan kering gara pkkm yg berepisode kek tersanjun ikatan cinta ,0
udah sebar undangan perpanjang terus skrg dh hari lg resepsi,1
ppkm diperpanjang berrti endingnya tos tosan donk wak waww,1
kok ya ppkm perpanjang ya allah mbok ya pikirin nasib rakyat kecil,1
jodoh pati rejeki dah yg ngtur klok udah takdirnya mati ya mati rayat gak takut mati kena covit tpi rayat takut mati kelaparan ,0
tolong menjajah negri sendiri rakyat takut keluarga mati kelaparan ,1
yaa allah molor koyok karet kesel wisan yo  ra do ngerteni rakyat cilek ki piye,1
ppkm lagi ppkm lagi parah cari duit sulit makan anak istri,1
alhamdulillah disyukuri dibalik kesusahan akan kemudahan,1
duhh bosqu blusukan rs jgn apotik liat angkat kmatian tu bner kena covid gak kog apotik nga pain,1
situ mah enak gaji tunjangan main proyek cukong nah rakyat pendapatannya harian bijimana sehari sehari habis gak ekonomi lesu bantuan gak ada pemimpin gak menyelesaikan udah bertahun begini,1
ealahhhh tandukkkkk meneh pakgenep sisan pakilang coronane ilang manungsane,1
nangung nyampe pemilu pas pemilu dah normal,1
sya berenti kerja lo pak sya buruh penjual bakso bibik sya ppkm bolh bukak meja sya berenti kerja dftr tni jga susah masuk nya ya allah ,1
aturaturen pak mumetmumeto dewe gah melumelu,1
allahhuakbar smoga msh jalan gue makan bayar utang,1
selalu ksh harapan tapi janji palsukemarend katanya sampe tgl skr diperanjang lagi gajelas yg perantau karywan keciltidak mngkin dpt bantuan,0
lah sampe level aja koronanya ngga ilang yng msyarakat yng jdi korban,1
sak karep sampean pak seng kluarga sampean iso orep ayem tentrem wong cilik iso opo bah mati genah,1
pak benci masyarakat ya  capekkk kaya gini truss,1
kumaha sia we aing geus lieur mikiran na oge,1
dunia sungguh konyol lajut level ppkm nya,1
pakk kpan msuk sekolah tatap mukaa mulai agustus harus tatap muka ya pakk,1
ppkm level  masih pedes lanjutkan joko kami rakyat kuat aturan yg de joko bravo de,0
perpanjang aja tahun rakyat indonesia tinggal sm menteri bpk yg terhormat,0
mencegah lebih baik dari pada mengobati merdeka,1
kalo ppkm perpanjang emang ngejamin virus nya ilang ya,1
bukan mati penyakit mati sulitsemua jd ga gerakmau kerja kerja gimana kemana susah ppkn rumah tangga gw jd burantakan,1
aj ppkm gda klar nya nih ud tgl d lg bgtu aj trs smpe thun nya covid mningkat lg,1
ppkm bos sampe akeh mati guduk kenek covid mati kelaparan ,1
ppkm agustus lepas tu adu finaltiy,1
sehat aja dah lekas sembuh indonesia ku,1
level saatnya longgar  seminggu next level agustus level ngangkang,1
perpanjang kasih kendor paksalam rakyat miskin,1
ini namanya pemimpin sumpah allah pendukung nya kena hisab akhirat kalo pemimpin nya ika jelas pemimpin ngga bela masyarakat ,1
maunya sih kita mahkluk sosial  ngk berinteraksi suruh makan tidur emang wedhus,1
nasib bandara gimana pak masyarakat susah mau ke pergi kemana tes pcr mahal pak kasih kelonggaran vaksin sama rapid sudah cukup pak ,1
yg tutup poin perhitungan sura terbuka ayo siapa mana komentar demokrasionalisme nya,0
ya allah bantuan pemerintah anak istri makan,1
paaak bayangin yg kerja mall masya allah paaakkk putus asa rasanyaaaa,0
thn hidup aturan mu penguasa tp hasilnya bikin susah sakareppmu mah,1
dibuka sih tp jam operasional nya gk ngotak,1
ppkm diperpanjang sampe menghindari demo besaran amaannn,1
dunia canggih rakyat hancur semoga cepat selesai ppkm,1
berita koyok ngene iki wes g blasppkm seumur hidup ae wes ben ndunyo iki longgar penduduk e,1
ppkm ada hentikan vaksin vaksin bnyk msyrkt yg meninggal ssdh vaksin gejala covid,0
yg dpt bantuan aja msih sambat pak palgi yg tk dpt kalo pny swh kulo insyaalloh kami hny pny tenaga mugi alloh paring kekuatan  ,0
saya ga setuju ama keputusan sampean pak,1
saya penasaran lihat gambar jempol k bawah oh owh ,1
saya setuju pemerintah ppkm ampuh corona menurun ppkm teruskan sy harap diteruskan sampe ,1
sebenarnya gampang benar ppkm solusi nya rumah,1
sekarang pengangguran meningkat kejahatan meningkat kriminal meningkat utang meningkat bg masyarakat kaum indonesia lagi,1
dari covid skrg sedikitpu gak tuuh terima bansos pas cek terdaftar orang yg dapet,0
ppkm level kapan level terakhirnya bos apakah turun tahta,1
saya blum bantuan pemerintah usul yg bantuan bansos lain tanda d rumah yh ta salah sasaran,0
mau ngomong tar ciduk sekarang dikit ciduk serem jaman orde ,1
maximal level sampe samapai tamat terhitung angka bilangan,1
jika ppkm diperpanjang hasilnya sama maka adu penalti,1
negara mujadi ini hrus dperpnjang ppkm org yg nyari makan ingat allah g tidur apapun yg dilakukn balasan ingat sm sumpah pegang amanah dunia tua sekali,0
mau memutus mata rantai covid atau memutus perekonomian rakyat kecil pak,1
rungkad sayang  cicilan mobil sekat juga dong ah ,1
masih level blum to pak sak karepmu dwe wae sampai level berapa,1
masuk kerja undurterus garappkm makan pake,1
orang makan woiiii mau kemana susah mau beli makan kalo malem aja susah,1
nek wis sampae tg ppkm lanjut maning tg agustus ,1
ngrepoti tok i teros sampek kapan lanjutt ,1
kita aman aja kok angka kematian rumus rumah sakit orang sakit d bawa rumah sakit pulang dr rs mati,1
terimakasih klinik tong fang berkat usulan bisulan kambuh ,0
sudah tau mampu dipaksain mundur terhormat,1
tka wna tp masuk ya paaaa trs wni g luar ya paaa,1
orang yg bnyak duit sie gk masalahtpi mangkin belangsak ppkm d perpajjang,0
karna pabrik implus blum kaya oksigen blum kaya mka nya perpanjang we lieur ngabanungan politik mah euy mning sare kmbae lapar ge,1
mana yg nyinyirin demo berjilid jilid  rasakan ppkm berlevel level kau dapurmu hidupin pemerintah  gak kerja gak makan kau ,0
ppkm perketat tka china ijinkan masuk hancur rakyat pedagang hari minggu pasar salatiga suruh tutup alfamart indomaret buka aneh,1
ya allah smoga cepat berakhr corona,1
kirain pinter mknya pilih tpi stlh amati trnyata hny vlogers,0
tk sawang tok ae blenger aq wisan komeno yo gk ad tangapan,0
perpanjang trosss kalo hasilnya tetep adakan adu penalti,1
kesebaran patutbisa rakyat lakukannamun tuntutan isi perut gimanaapa pauasa,1
karepmu pak kepalaku pusing tidak bantuan kerjaan sulit,1
kapan atuh atur jadwal nih mahasiswa rakyat indonesia,1
lockdwn psbb ppkm druratmpe ppkm level jg cm tmbh rued ajh ngomong lngsung tngkp polisi,1
ruwet ancur bisa kyk ginistop aja anggaran covid stop jenis bantuan,1
mendingan bkn bansos drpd gak nyampe rmh skrng toh tp lokasi vaksinasi diperbanyak gak perlu ngantri panjaaaaannggg,1
aku mbetek ngko wis perpanjang iki lancar ngko yo perpanjang mnh,1
bantuanny siapake aparat at orng yg membutuhkan soalny sampe blm dapt,0
mesisan setaun ppkm nya nanggung minggu nambah,1
di ppkm emng udh gaada hilang tuh covid,1
bansos yg menerima yg bgmn pak bg yg angsuran kredit kendaraan bgm pak,0
takut korona salah bumg takut yg bikin corona pham nga,0
anak sekolah skarang hp an alasannya belajar sehari ful hp an sdangkan ortu sibuk cari makan gk awasi anak hp anbelajar bneran game online gak tau,1
mulut nya berbicara telinga nya mendengar teriakan rakyat,1
ok ok gini aja deh pdam listrik kontrakan cicilan hutang bank sembako gratiskam semua tolong bebasin kalo kayak gini caranya insyaallah cepet selesai,1
seharus suara rakyat yg didengar  mentri opo kepala daerah yg ditakutkan rakyat cumak makan bukan butuh teori teori kayak gini ,0
urusin ppkm melulu gk pnting lbh pnting rakyatnya d urusin biar bs usahamakan gimana,1
setuju perpanjanng seumur hidup aja biar klenger rakyat selamat pejabat semoga gendut mkn duit rakyat,1
sampai level aja sudah maksimal biar kaya emblem ml assasin gua,1
kriminal menumpuk dan kasihan tuh yg ngekos mikir makan bayar kos pemerintah aja gak mikir,0
terlalu sibuk ngurusin corona negri udah nganggep corona kaya flu,1
klo ppkm yg demo sm aja boong nnti klaster baru mending ppkm gada tpi prokes ketat,0
masyarakat ppkm orang asing masuk indonesia bebasin,1
petani buang ancur karna harga turun drastis,1
tolong bansos miskin butuh kerjaan jgn memperpanjang ppkm makan butuh hidup,1
kan ketebak sih jatoh nya kaya psbb dlu nyicil perpanjang klo taun besok rame corona bikin istilah psbb ppkm darurat ppkm lv  apa yaah,1
halah drama ppkm di perpanjang lagi ni pak de kasian kah sama rakyat kecil ingat dosa pak de allah maha tahu segalanya tentang drama covid yg ads d negara kita ini,1
ppkm pelan pelan mati krja ga jln ttup trus btuh mkn masukan ga gimna bansos merata huh ya allah bgini hidup pakde ,1
kenapa dpr wakil rakyat diam itu skenario pemerintah kepentingan kelompok golongan,1
betul betull panting bpk gajian hidup mewah harta berlimpah makmur sejahtera bodo dengn rakyat,1
yg gua banggakan gua menyesal gua kerja barista kedai kopi buka jam sore datangnya pelanggan jam malam eh jam patroli satpol pp gimana uang,0
sabar loor penyakit aman pasti akan hilang ber usaha,1
ancur usaha ku yg bsru d bangun piye iki e tamat,0
makin kacau indonesia penyakit korona aja dibikin ladang usaha kedokteran ancur,1
saya pesen varian strawbery level de ,1
klo perpanjang trus menerus aja kiamat ,1
daru keputusan ppkm diperpanjang iini semoga pandemi hilang amin ya robal alamin,1
bantuan nya salah sasaran yang kena dampak covid gak dapet apa yang gak kena tajir dapet bantuan,1
setelah virus farian delta kira virus yaa pk,1
haben we perpanjang teu mikiran kanu leutik sia mah jawa kowek,1
y ja d perpanjang sampai orang kelaparan mati krna perpanjang kerja,1
semoga dana covit masyarakat yg terlockdown nakes nakes gaji bulanan uang jasa medis petugas yg menangani covit dana covit masyarakatnya masyarakat yg terlockdown masyarakat butuh makan,0
overdomsek kami butuh new normal bukan ppkm,1
bank diangsurg pemasukan berpihak kepda si pk,1
enak bgt omongnya ngerasain ekonominya cukup,1
di tunggu pepekaem level pedes garuk pedes mampus pedes mati pedes gila pedes omongan tetangga,1
gara ppkm suruh berhenti kerja sedih hatiku ya allah,1
tdk efektif lho lurah petugasmu sdh malesan melaksanakannya buang uang utangan mu aja,1
gimana imun turun kalo gapunya uang ppkm dampaknya bikin miskin kerja susah mahal,1
pas nunggu sampe agustus eh perpanjang sampe one piece tamat,1
bantuannya langsung rumah ga lihat data yg msk krn yg ga sesuai jg,0
kakean jajan sampean mikir varian toping opo bos coklat,1
kapan ngundurin diri klaw gak mmpu ngomong,1
levelnya pedes niihhhb naik aja langsung mas joko level super pedesnya,1
bantuan gk orang miskin kena bantuan contohny orang yg merantau penghasilane dri dagang klo gtu gmna,0
sila ke di acuhkan bagi pemerintah sekarang mah ,1
beuki gumasep w si anyenx ,1
di seblak pake level segala miskin masyarakat miskin nya aturan,1
umkm bangkrut masyarakat tmbh miskin merdeka koruptor katanya didemo giliran demo tunggangi,1
wih level ni ngab kalok udah level kabarin tau fafafa jekpot,1
bukan covid lawan jadi pemerintah yg lawan rakyat menindas org miskin ,0
pandemi bahkn ppkm knp lesing motr smpe rampok motr d tenga jln,1
dhe pikirno utangku piye sing meh bayar yen kowe muni ppkm terus duit rb mung nggo urip dino piye kui,1
ah bapak bapak gak tau ya hari stres mikirin angsuranmkndll cuman rakyat  kaaihani pak bansos tdak dapat ,1
hidup rakyat adalah konten pemerintah ,1
plz lha ya gw udh nunggu ampe tanggal beli perpanjang kontlo lj,1
pemimpin yg ga adil smua ditutup orang china kau masukan sampe mabukan dikafe azab menantimu,0
kasus meningkat penurunan ya auto perpanjang lagi sudah ku duga perpanjang lagi,1
kata bungkarno perjuangan ku mudah mengusir penjajahperjuangan mu sulit melawan bangsamu sendiri mau ngomong apapun dega gubris rakyat butuh makanga pemerintah menjamin kehidupan rakyat banyak saya covid inibansos zonk,1
yang pelan pelan musnah kebingungan bantuan dmn mint tolong dinormalkan aja,1
berdoa aja yg nutup jalan yg perpanjang ppkm semoga kena musibah amin,0
kayak main game aja pakai level,1
dunia perojolan gimana pakpuyeng muter cari jalan,1
sudah kehabisan kata kecewa udh melebihi batas marah ngeluh udah gabisa,1
bukan indonesia saja negara negara yg ketat indonesiapemerintahkan melindungi rakyatnya jgn berpikir negative berpikirlah positive,0
bagus sekali klo sekalian bandara spbu tutup total aja pak mampus sekalian rakyat bpak hancurr sudah,1
ppkm  peraturan pembuat kami miskin ,1
proyek pengurangan populasi dunia elite global  pebisnis,0
tambah teler nih ojol ojek pangkalan pusing,1
kebijakan ppkm dimana letak bijaknya ,1
nasib nya pengusaha soundorkesriasshotingdekorasi gimana pak kasih solusi napa,1
anda ngomong enak tinggal tinggal blg itu kalo yg miskin makan aja susah,0
lu ngomong enak  dagang kalo negara nya gini ga produktif,1
perpanjang terus lihat dah setelah tgl agustus pasti di perpanjang lagi,1
sampai level brpa ppkm gk hbisnya y ppkm nya,1
boz kowi dgr masyarakat nya sdh menolak ppkmperpanjang lgperpanjang lg,1
jujur ya negara gatot alias gagal total,1
ppkm depan gaji tunjangan pegawai ditiadakan dibagikan masyarakat,1
alangkah baik nya de ku sehat storan bank motor utang bank ppkm stop listrik gratis,1
mempertimbangkan aspek rakyat makan dri mn,1
atur atur aja yg rakyat terpenuhi kebutuhan sehari hari tapi mn dgn pendidikan anak anak bangsa langkah selanjut nya,0
wes karepmu de bosen krungune mbuh rammpunge ppkm level ampe tgl agustus ntar agustus ampe ampe level,1
cabe rawit melonjak kalo ppkm level ,1
ngasi bantuan yg pekerja pake patokan bpjstk ibu yg dirumahkan ato phk kabar ,0
urip podo ngeluhbingung mangan mulane urip ku syukuri uwong menengah ngeluh waemangan singkong godokmobil motor mu dol tukok no singkong godok,1
gimana kalo rakyat indonesia kompak mogok bayar pajak pemerintah biar gk makan,1
minggu aj udah stress kok d perpanjang gak sekalian kiamat aj,1
astagfirullah seminggu eh pengumuman  gue udh pengangguran bosku pusing gue pengen kerja,1
mugi tansah pinaringan rahayu lan barokah saking gusti alloh,1
wkwkw sungguh nyata anak buah dajal brkliaran ppkm manfaatnya perpanjang misi brguna hanya penyiksaan rakyat sajah warga dh cuek wkwkwkwkwkw,1
ini ppkm kok sih levelnya kirain seblak doang yg level,0
habis tanggal agustus ya tanggal agustus ppkm pelan pelan mati,1
teruskan pak sesukamu mudahan umur pak kami rakyat ngelus dada ngucapsabar,1
minta duitnya beli nasi warteg lapar,1
apa efek ppkm gk pak uang habis hidup,1
lama mati klo kayak gini pemerintah ngak mementingkan rakyat,1
musisi gimana nasib nya ya allah ,1
sayah udh gk kerja anak istri makan kalo perpanjang,1
emang hubungan virus corona tu ngab ape corona keluarnya cm malam doang yg tau ngab kok batasan waktu,0
corona ajh bervariasi ppkm ga ppkm levelnya bin cabe,1
corona ajh bervariasi ppkm ga ppkm levelnya bin cabe,1
ya allah rakyat menderita karna firus daerah lapangan pekerjaan susah,1
rakyat kau sudah muak dgn cara peraturan kau bersama mentri kau gag tau malu gag tau tanggung jawab kau,1
trus ajah rakyat nyah takut takutin covid klau bahas trus corona yah gak beres beres coba bahas lagih corona,1
tanggung pak sekalian sampai tahun baru dong pak,1
untuk agent jasa bidang pariwisata gimana pak,1
yg tutup bandara pak yg batasi org masuk indo rakyat yg batasi virus negri cth korut rakyat sejahterahkan wna yg sejahtera,0
saya level nya sampek ppkn nya sampek,1
ngga d libur aja slama hari aktpitas ny  tp d gajih  corona hari ,1
mmk lah bnyak ngmng ujung nya uang bantuan d korupsi juga pada nyesel rakyat pilih bapak,1
bujre kono gah pk mkirin mkn shri aja pusing rumit orpnjng smpe kiamat sok aja,1
ppkm diperpanjang bansos juga diadakan pak kita mau makan apa kalau kerja aja gabisa coba diup saya mewakili rakyat kecil untuk bisa hidup sejahtera,1
siapa yg setuju dg keputusan inippkm dilanjutkan masyarakat kedepanx pertimbnagan dijawab,0
main togel aja yuk kuy kerjaan sulit kuy ,1
gw ma bini gw panggil kerja klo gini pak gw cm pekerja outscorching urusan perut susu anak gw gak brenti tolonglah  udh bingung rakyat miskin ni,1
phak rs yg bkin ribet psien bsa d proses corna bkin ribt indonesia hebat,0
berkat covid pintar yg pakai teks berkat menghapal pidato sdh tdk butuh teks,0
terus wedding organizer pak sudah cancel  harap diperhatikan jg,1
hadeh ppkm mulu yg diutamakan coba tolong cranya rakya suburmakmur,0
bsntusn slma kmi blum dpt bntuan apa kmi klaparsn klu bgini trs,0
kalo kaya gini penjahat orang orang mentok bingung nyari duit makan anak istri ujung ujungnya ngerampok,1
ini lihat sekitaran jln raya kerumunan yg ramai sesuai dngn ucapan bpk mohon maaf yg lihat kenyataan,0
dikritik jd mslh g dikritik ya y,1
pelan pelan kematian meningkat  ppkm ,1
ga tau hasil ppkm an kayak aja susah iya,1
tanggal ntar diperpanjang sampe pak saya biar siap g makan banyak,1
pak punten semoga pemikiran sembuh ,1
pedagang buka makan buka cuman klw jalur nya tutup yg beli nya gimana ga mnding nyaperasaan cuman gue yg bodoh bodohin,0
yang nyoblos de gimana kabar nya nyesel gak,1
dimana kebijakan disitu solusi nya  bansos merata pak berantas tuntas korupsi pak kasian orang orang nyari uang kerja pariwisata lokal ,1
emang level nih ngomong perpanjang terus,1
mantap jos gandozzz terus thun pak,1
seniman gak pak coba koreksi teliti dong semua rakyat kebanyakan mengeluh kehilangan pekerjaan masal lho pak,1
kok ga ngerti ya plesiden ga hilang lengeh,1
hore ppkm perpanjang para pedagang bos pembeli sepi lagi pejuang nafkah alhamdulilah besok puasa lagi,1
gering pikir mah warung ttp gak org bln z bln bayar kontrakan udah senang jln buka ehh kena prank,1
kita darah jajah darah berjuang tinggal memilih mna sendiri,1
sumpah nyesel banget milih koe pak ,1
percayalah sinetron berlanjut menjelang pemilu  nama yg berbedabeda,0
di jajah bangsa sendirimasyarakat rakyat makan susah,1
